date,visitor_count,visitor_uniques
2025-10-22,8,1
2025-10-23,3,2
2025-10-24,3,2
2025-10-25,1,1
2025-10-26,1,1
2025-10-27,2,2
2025-10-28,1,1
2025-10-30,1,1
2025-10-31,2,2
2025-11-01,1,1
2025-11-02,2,2
2025-11-04,1,1
2025-11-05,232,9
2025-10-28,1,1
2025-10-30,1,1
2025-10-31,2,2
2025-11-01,1,1
2025-11-02,2,2
2025-11-04,1,1
2025-11-05,232,9
2025-11-06,15,4
2025-11-04,1,1
2025-11-05,232,9
2025-11-06,15,4
2025-11-10,24,1
2025-11-15,7,1
2025-11-10,24,1
2025-11-15,7,1
2025-11-24,7,1
2025-11-25,2,2
2025-11-26,25,1
2025-11-24,7,1
2025-11-25,2,2
2025-11-26,25,1
2025-12-02,14,2
2025-12-03,19,3
2025-12-04,2,2
2025-12-07,7,2
2025-12-02,14,2
2025-12-03,19,3
2025-12-04,2,2
2025-12-07,7,2
2025-12-09,4,1
2025-12-10,95,3
2025-12-09,4,1
2025-12-10,95,3
2025-12-15,2,2
2025-12-16,1,1
2025-12-20,1,1
2025-12-14,0,0
2025-12-15,2,2
2025-12-16,1,1
2025-12-17,0,0
2025-12-18,0,0
2025-12-19,0,0
2025-12-20,1,1
2025-12-21,0,0
2025-12-22,0,0
2025-12-23,0,0
2025-12-24,0,0
2025-12-25,0,0
2025-12-26,0,0
2025-12-27,0,0
2025-12-21,0,0
2025-12-22,0,0
2025-12-23,0,0
2025-12-24,0,0
2025-12-25,0,0
2025-12-26,0,0
2025-12-27,0,0
2025-12-28,0,0
2025-12-29,0,0
2025-12-30,0,0
2025-12-31,0,0
2026-01-01,0,0
2026-01-02,0,0
2026-01-03,0,0
